"customer_id","order_date","product_id"
"A","2024-01-01",1
"B","2024-01-01",2
"B","2024-01-02",4
"C","2024-01-02",3
"A","2024-01-03",5
"C","2024-01-03",4
"B","2024-01-04",1
"A","2024-01-04",5
"C","2024-01-05",3
"B","2024-01-07",2
"B","2024-01-09",5
"C","2024-02-09",4
"C","2024-01-10",1
"A","2024-01-11",5
"A","2024-01-12",3
"A","2024-01-12",2
"A","2024-01-13",4
"B","2024-01-15",1
"C","2024-01-15",3
"B","2024-01-17",2
"D","2024-01-17",1
"D","2024-01-17",4
"C","2024-01-17",2
"B","2024-01-20",3
"A","2024-01-20",1
